,repository_name,language
389,example-package-dealer,Swift
390,app-store-server-library-java,Java
391,app-store-server-library-node,TypeScript
392,app-store-server-library-python,Python
393,app-store-server-library-swift,Swift
394,apple-llvm-infrastructure-tools,C++
395,apple_rules_lint,Starlark
396,ARKitScenes,Python
397,AudioUnit-Examples,Swift
398,AudioUnitSDK,C++
399,axlearn,Python
400,batch-processing-gateway,Java
401,ccs-caldavclientlibrary,HTML
402,ccs-caldavtester,Python
403,ccs-calendarserver,Python
404,ccs-pycalendar,Python
405,ccs-pykerberos,C
406,ccs-pyopendirectory,C++
407,ccs-pyosxframeworks,Python
408,ccs-pysecuretransport,Python
409,ccs-twistedextensions,Python
410,coremltools,Python
411,corenet,Jupyter Notebook
412,cups,C
413,darwin-libplatform,C
414,darwin-libpthread,C
415,darwin-xnu,C
416,device-management,
417,dnikit,Python
418,eidas,Go
419,example-package-dealer,Swift
420,app-store-server-library-java,Java
421,app-store-server-library-node,TypeScript
422,app-store-server-library-python,Python
423,app-store-server-library-swift,Swift
424,apple-llvm-infrastructure-tools,C++
425,apple_rules_lint,Starlark
426,ARKitScenes,Python
427,AudioUnit-Examples,Swift
428,AudioUnitSDK,C++
429,axlearn,Python
430,batch-processing-gateway,Java
431,ccs-caldavclientlibrary,HTML
432,ccs-caldavtester,Python
433,ccs-calendarserver,Python
434,ccs-pycalendar,Python
435,ccs-pykerberos,C
436,ccs-pyopendirectory,C++
437,ccs-pyosxframeworks,Python
438,ccs-pysecuretransport,Python
439,ccs-twistedextensions,Python
440,coremltools,Python
441,corenet,Jupyter Notebook
442,cups,C
443,darwin-libplatform,C
444,darwin-libpthread,C
445,darwin-xnu,C
446,device-management,
447,dnikit,Python
448,eidas,Go
449,example-package-dealer,Swift
450,app-store-server-library-java,Java
451,app-store-server-library-node,TypeScript
452,app-store-server-library-python,Python
453,app-store-server-library-swift,Swift
454,apple-llvm-infrastructure-tools,C++
455,apple_rules_lint,Starlark
456,ARKitScenes,Python
457,AudioUnit-Examples,Swift
458,AudioUnitSDK,C++
459,axlearn,Python
460,batch-processing-gateway,Java
461,ccs-caldavclientlibrary,HTML
462,ccs-caldavtester,Python
463,ccs-calendarserver,Python
464,ccs-pycalendar,Python
465,ccs-pykerberos,C
466,ccs-pyopendirectory,C++
467,ccs-pyosxframeworks,Python
468,ccs-pysecuretransport,Python
469,ccs-twistedextensions,Python
470,coremltools,Python
471,corenet,Jupyter Notebook
472,cups,C
473,darwin-libplatform,C
474,darwin-libpthread,C
475,darwin-xnu,C
476,device-management,
477,dnikit,Python
478,eidas,Go
479,example-package-dealer,Swift
480,app-store-server-library-java,Java
481,app-store-server-library-node,TypeScript
482,app-store-server-library-python,Python
483,app-store-server-library-swift,Swift
484,apple-llvm-infrastructure-tools,C++
485,apple_rules_lint,Starlark
486,ARKitScenes,Python
487,AudioUnit-Examples,Swift
488,AudioUnitSDK,C++
489,axlearn,Python
490,batch-processing-gateway,Java
491,ccs-caldavclientlibrary,HTML
492,ccs-caldavtester,Python
493,ccs-calendarserver,Python
494,ccs-pycalendar,Python
495,ccs-pykerberos,C
496,ccs-pyopendirectory,C++
497,ccs-pyosxframeworks,Python
498,ccs-pysecuretransport,Python
499,ccs-twistedextensions,Python
500,coremltools,Python
501,corenet,Jupyter Notebook
502,cups,C
503,darwin-libplatform,C
504,darwin-libpthread,C
505,darwin-xnu,C
506,device-management,
507,dnikit,Python
508,eidas,Go
509,example-package-dealer,Swift
510,app-store-server-library-java,Java
511,app-store-server-library-node,TypeScript
512,app-store-server-library-python,Python
513,app-store-server-library-swift,Swift
514,apple-llvm-infrastructure-tools,C++
515,apple_rules_lint,Starlark
516,ARKitScenes,Python
517,AudioUnit-Examples,Swift
518,AudioUnitSDK,C++
519,axlearn,Python
520,batch-processing-gateway,Java
521,ccs-caldavclientlibrary,HTML
522,ccs-caldavtester,Python
523,ccs-calendarserver,Python
524,ccs-pycalendar,Python
525,ccs-pykerberos,C
526,ccs-pyopendirectory,C++
527,ccs-pyosxframeworks,Python
528,ccs-pysecuretransport,Python
529,ccs-twistedextensions,Python
530,coremltools,Python
531,corenet,Jupyter Notebook
532,cups,C
533,darwin-libplatform,C
534,darwin-libpthread,C
535,darwin-xnu,C
536,device-management,
537,dnikit,Python
538,eidas,Go
539,example-package-dealer,Swift
540,app-store-server-library-java,Java
541,app-store-server-library-node,TypeScript
542,app-store-server-library-python,Python
543,app-store-server-library-swift,Swift
544,apple-llvm-infrastructure-tools,C++
545,apple_rules_lint,Starlark
546,ARKitScenes,Python
547,AudioUnit-Examples,Swift
548,AudioUnitSDK,C++
549,axlearn,Python
550,batch-processing-gateway,Java
551,ccs-caldavclientlibrary,HTML
552,ccs-caldavtester,Python
553,ccs-calendarserver,Python
554,ccs-pycalendar,Python
555,ccs-pykerberos,C
556,ccs-pyopendirectory,C++
557,ccs-pyosxframeworks,Python
558,ccs-pysecuretransport,Python
559,ccs-twistedextensions,Python
560,coremltools,Python
561,corenet,Jupyter Notebook
562,cups,C
563,darwin-libplatform,C
564,darwin-libpthread,C
565,darwin-xnu,C
566,device-management,
567,dnikit,Python
568,eidas,Go
569,example-package-dealer,Swift
